c0_left	 c0_right	 c_front	 c_back	 c_mean	 dcdx_mean	 p0	 dNu
3e-006	0	6.17419e-007	5.86134e-007	6.01777e-007	0.00312852	1e-012	0.00100223
3e-006	0	5.1424e-007	4.85458e-007	4.99849e-007	0.00287821	1.25893e-012	0.000928216
3e-006	0	4.15906e-007	3.89925e-007	4.02915e-007	0.00259812	1.58489e-012	0.000843238
3e-006	0	3.25711e-007	3.02784e-007	3.14247e-007	0.00229268	1.99526e-012	0.000748465
3e-006	0	2.46252e-007	2.26557e-007	2.36404e-007	0.00196949	2.51189e-012	0.000646271
3e-006	0	1.7915e-007	1.62758e-007	1.70954e-007	0.00163919	3.16228e-012	0.000540223
3e-006	0	1.24973e-007	1.11824e-007	1.18399e-007	0.00131495	3.98107e-012	0.000434877
3e-006	0	8.32636e-008	7.31547e-008	7.82092e-008	0.00101089	5.01187e-012	0.000335214
3e-006	0	5.2742e-008	4.53407e-008	4.90414e-008	0.00074013	6.30957e-012	0.000245905
3e-006	0	3.1597e-008	2.6471e-008	2.9034e-008	0.000512594	7.94328e-012	0.000170534
3e-006	0	1.77947e-008	1.44612e-008	1.61279e-008	0.000333348	1e-011	0.000110997
3e-006	0	9.35596e-009	7.33662e-009	8.34629e-009	0.000201934	1.25893e-011	6.72737e-005
3e-006	0	4.55537e-009	3.42601e-009	3.99069e-009	0.000112936	1.58489e-011	3.76352e-005
3e-006	0	2.03618e-009	1.45853e-009	1.74736e-009	5.7765e-005	1.99526e-011	1.92528e-005
3e-006	0	8.27567e-010	5.60103e-010	6.93835e-010	2.67464e-005	2.51189e-011	8.91505e-006
3e-006	0	3.02675e-010	1.91796e-010	2.47235e-010	1.1088e-005	3.16228e-011	3.69593e-006
3e-006	0	9.86189e-011	5.79067e-011	7.82628e-011	4.07123e-006	3.98107e-011	1.35707e-006
3e-006	0	2.8375e-011	1.52622e-011	2.18186e-011	1.31128e-006	5.01187e-011	4.37092e-007
3e-006	0	7.17417e-012	3.49123e-012	5.3327e-012	3.68294e-007	6.30957e-011	1.22765e-007
3e-006	0	1.60011e-012	6.95528e-013	1.14782e-012	9.04584e-008	7.94328e-011	3.01528e-008
3e-006	0	3.21573e-013	1.2328e-013	2.22427e-013	1.98293e-008	1e-010	6.60978e-009
3e-006	0	6.1285e-014	2.04489e-014	4.0867e-014	4.08361e-009	1.25893e-010	1.3612e-009
3e-006	0	1.21129e-014	3.4546e-015	7.78373e-015	8.65825e-010	1.58489e-010	2.88608e-010
3e-006	0	2.77415e-015	6.57281e-016	1.71572e-015	2.11687e-010	1.99526e-010	7.05624e-011
3e-006	0	7.88969e-016	1.50194e-016	4.69582e-016	6.38775e-011	2.51189e-010	2.12925e-011
3e-006	0	2.75901e-016	4.12014e-017	1.58551e-016	2.34699e-011	3.16228e-010	7.82331e-012
3e-006	0	1.13607e-016	1.31835e-017	6.33951e-017	1.00423e-011	3.98107e-010	3.34744e-012
3e-006	0	5.3625e-017	4.84447e-018	2.92347e-017	4.87805e-012	5.01187e-010	1.62602e-012
3e-006	0	2.8864e-017	2.04469e-018	1.54543e-017	2.68193e-012	6.30957e-010	8.93977e-013
3e-006	0	1.76258e-017	9.88947e-019	9.30736e-018	1.66368e-012	7.94328e-010	5.54561e-013
3e-006	0	1.19179e-017	5.40987e-019	6.22946e-018	1.13769e-012	1e-009	3.79232e-013
4.75468e-006	0	2.15829e-006	2.09093e-006	2.12461e-006	0.00673554	1e-013	0.00195803
4.75468e-006	0	2.09922e-006	2.03248e-006	2.06585e-006	0.0066738	1.25893e-013	0.0019472
4.75468e-006	0	2.02831e-006	1.96234e-006	1.99533e-006	0.00659711	1.58489e-013	0.00193331
4.75468e-006	0	1.94415e-006	1.87913e-006	1.91164e-006	0.00650218	1.99526e-013	0.0019155
4.75468e-006	0	1.84558e-006	1.78173e-006	1.81365e-006	0.00638519	2.51189e-013	0.00189264
4.75468e-006	0	1.7319e-006	1.66949e-006	1.70069e-006	0.00624176	3.16228e-013	0.00186333
4.75468e-006	0	1.60322e-006	1.54255e-006	1.57288e-006	0.00606707	3.98107e-013	0.00182588
