c0_left	 c0_right	 c_front	 c_back	 c_mean	 dcdx_mean	 p0	 dNu	 pfavg	 pbavg
3e-007	0	1.40382e-015	4.56734e-016	9.30278e-016	9.47089e-011	3.16228e-006	3.15696e-011	3.29504e-011	2.39013e-011
3e-007	0	1.14005e-015	3.3066e-016	7.35354e-016	8.09388e-011	3.98107e-006	2.69796e-011	2.595e-011	1.82395e-011
3e-007	0	9.55059e-016	2.42509e-016	5.98784e-016	7.1255e-011	5.01187e-006	2.37517e-011	2.0972e-011	1.42125e-011
3e-007	0	8.17579e-016	1.77685e-016	4.97632e-016	6.39894e-011	6.30957e-006	2.13298e-011	1.72011e-011	1.11675e-011
3e-007	0	7.07386e-016	1.28881e-016	4.18134e-016	5.78505e-011	7.94328e-006	1.92835e-011	1.41773e-011	8.76469e-012
3e-007	0	6.08922e-016	9.19291e-017	3.50425e-016	5.16993e-011	1e-005	1.72331e-011	1.1606e-011	6.80929e-012
4.75468e-007	0	2.40353e-007	2.33381e-007	2.36867e-007	0.000697241	1e-011	0.000228786	0.00786604	0.0077996
4.75468e-007	0	2.40123e-007	2.33153e-007	2.36638e-007	0.000697016	1.25893e-011	0.000228716	0.00785853	0.0077921
4.75468e-007	0	2.39834e-007	2.32867e-007	2.36351e-007	0.000696732	1.58489e-011	0.000228628	0.00784907	0.00778267
4.75468e-007	0	2.39471e-007	2.32508e-007	2.3599e-007	0.000696376	1.99526e-011	0.000228516	0.0078372	0.00777084
4.75468e-007	0	2.39016e-007	2.32057e-007	2.35536e-007	0.000695928	2.51189e-011	0.000228376	0.00782231	0.00775598
4.75468e-007	0	2.38444e-007	2.31491e-007	2.34967e-007	0.000695364	3.16228e-011	0.000228199	0.00780361	0.00773734
4.75468e-007	0	2.37728e-007	2.30781e-007	2.34255e-007	0.000694655	3.98107e-011	0.000227978	0.00778019	0.00771398
4.75468e-007	0	2.36831e-007	2.29894e-007	2.33362e-007	0.000693765	5.01187e-011	0.000227699	0.00775086	0.00768473
4.75468e-007	0	2.35711e-007	2.28784e-007	2.32247e-007	0.000692646	6.30957e-011	0.000227348	0.00771421	0.00764818
4.75468e-007	0	2.34312e-007	2.274e-007	2.30856e-007	0.00069124	7.94328e-011	0.000226908	0.00766847	0.00760256
4.75468e-007	0	2.32571e-007	2.25676e-007	2.29124e-007	0.000689477	1e-010	0.000226355	0.00761152	0.00754578
4.75468e-007	0	2.3041e-007	2.23538e-007	2.26974e-007	0.000687266	1.25893e-010	0.000225661	0.00754083	0.00747529
4.75468e-007	0	2.27737e-007	2.20892e-007	2.24314e-007	0.000684496	1.58489e-010	0.000224791	0.00745335	0.00738806
4.75468e-007	0	2.24443e-007	2.17633e-007	2.21038e-007	0.000681031	1.99526e-010	0.000223702	0.00734559	0.00728062
